id,city,area,community,part,source
1,abu dhabi,al reem island,city of lights,radiant square,https://www.bayut.com/
2,abu dhabi,al reem island,city of lights,hydra avenue towers,https://www.bayut.com/
3,abu dhabi,al reem island,city of lights,the boardwalk residence,https://www.bayut.com/
4,abu dhabi,al reem island,city of lights,marina bay,https://www.bayut.com/
5,abu dhabi,al reem island,city of lights,sigma towers,https://www.bayut.com/
6,abu dhabi,al reem island,city of lights,horizon towers,https://www.bayut.com/
7,abu dhabi,al reem island,city of lights,c4 tower,https://www.bayut.com/
8,abu dhabi,al reem island,city of lights,c6 tower,https://www.bayut.com/
9,abu dhabi,al reem island,city of lights,c5 tower,https://www.bayut.com/
10,abu dhabi,al reem island,reem hills,maskan,https://www.bayut.com/
11,abu dhabi,al reem island,reem hills,makany,https://www.bayut.com/
12,abu dhabi,al reem island,reem hills,majlis,https://www.bayut.com/
13,abu dhabi,al reem island,reem hills,canal side,https://www.bayut.com/
14,abu dhabi,al reem island,reem hills,reem avenue,https://www.bayut.com/
15,abu dhabi,al reem island,reem hills,manzel,https://www.bayut.com/
16,abu dhabi,al reem island,reem hills,amara,https://www.bayut.com/
17,abu dhabi,al reem island,reem hills,sunset valley,https://www.bayut.com/
18,abu dhabi,al reem island,reem hills,sierra views,https://www.bayut.com/
19,abu dhabi,al reem island,reem hills,aman,https://www.bayut.com/
20,abu dhabi,al reem island,reem hills,canal promenade,https://www.bayut.com/
21,abu dhabi,yas island,mayan,mayan 2,https://www.bayut.com/
22,abu dhabi,yas island,mayan,mayan 1,https://www.bayut.com/
23,abu dhabi,yas island,mayan,mayan 3,https://www.bayut.com/
24,abu dhabi,yas island,mayan,mayan 4,https://www.bayut.com/
25,abu dhabi,yas island,mayan,mayan 5,https://www.bayut.com/
26,sharjah,muwaileh,al mamsha,raseel,https://www.bayut.com/
27,sharjah,muwaileh,al mamsha,souks residential,https://www.bayut.com/
28,dubai,jumeirah village circle (jvc),jvc district 10,binghatti corner,https://uae.dubizzle.com/
29,dubai,jumeirah village circle (jvc),jvc district 10,squarex residence,https://uae.dubizzle.com/
30,dubai,jumeirah village circle (jvc),jvc district 10,bloom towers,https://uae.dubizzle.com/
31,dubai,jumeirah village circle (jvc),jvc district 10,binghatti heights,https://uae.dubizzle.com/
32,dubai,jumeirah village circle (jvc),jvc district 10,stonehenge residences,https://uae.dubizzle.com/
33,dubai,jumeirah village circle (jvc),jvc district 10,elitz 2 by danube,https://uae.dubizzle.com/
34,dubai,jumeirah village circle (jvc),jvc district 10,the autograph,https://uae.dubizzle.com/
35,dubai,jumeirah village circle (jvc),jvc district 10,la residenza,https://uae.dubizzle.com/
36,dubai,jumeirah village circle (jvc),jvc district 10,luma 22,https://uae.dubizzle.com/
37,dubai,jumeirah village circle (jvc),jvc district 10,binghatti house,https://uae.dubizzle.com/
38,dubai,jumeirah village circle (jvc),jvc district 10,10 oxford,https://uae.dubizzle.com/
39,dubai,jumeirah village circle (jvc),jvc district 10,the manhattan,https://uae.dubizzle.com/
40,dubai,jumeirah village circle (jvc),jvc district 10,la riviera estates,https://uae.dubizzle.com/
41,dubai,jumeirah village circle (jvc),jvc district 10,avanos residence,https://uae.dubizzle.com/
42,dubai,jumeirah village circle (jvc),jvc district 10,riviera chalet,https://uae.dubizzle.com/
43,dubai,jumeirah village circle (jvc),jvc district 10,tuscan residence,https://uae.dubizzle.com/
44,dubai,jumeirah village circle (jvc),jvc district 10,may residence,https://uae.dubizzle.com/
45,dubai,jumeirah village circle (jvc),jvc district 10,binghatti orchid,https://uae.dubizzle.com/
46,dubai,jumeirah village circle (jvc),jvc district 10,oxford 212,https://uae.dubizzle.com/
47,dubai,jumeirah village circle (jvc),jvc district 10,binghatti mirage,https://uae.dubizzle.com/
48,dubai,jumeirah village circle (jvc),jvc district 10,hanover square,https://uae.dubizzle.com/
49,dubai,jumeirah village circle (jvc),jvc district 10,la riviera azure,https://uae.dubizzle.com/
50,dubai,jumeirah village circle (jvc),jvc district 10,le grand chateau,https://uae.dubizzle.com/
51,dubai,jumeirah village circle (jvc),jvc district 10,empire suites,https://uae.dubizzle.com/
52,dubai,jumeirah village circle (jvc),jvc district 10,binghatti lavender,https://uae.dubizzle.com/
53,dubai,jumeirah village circle (jvc),jvc district 10,rigel apartments,https://uae.dubizzle.com/
54,dubai,jumeirah village circle (jvc),jvc district 10,plazzo heights,https://uae.dubizzle.com/
55,dubai,jumeirah village circle (jvc),jvc district 10,gateway by premier choice,https://uae.dubizzle.com/
56,dubai,jumeirah village circle (jvc),jvc district 10,la riviera apartments,https://uae.dubizzle.com/
57,dubai,jumeirah village circle (jvc),jvc district 10,serenity lakes 5,https://uae.dubizzle.com/
58,dubai,jumeirah village circle (jvc),jvc district 10,marwa homes 4,https://uae.dubizzle.com/
59,dubai,jumeirah village circle (jvc),jvc district 10,signature livings,https://uae.dubizzle.com/
60,dubai,jumeirah village circle (jvc),jvc district 10,oxford residence 2,https://uae.dubizzle.com/
61,dubai,jumeirah village circle (jvc),jvc district 10,la perla homes 10,https://uae.dubizzle.com/
62,dubai,jumeirah village circle (jvc),jvc district 10,noora residence,https://uae.dubizzle.com/
